id_jobs,work_code
16,0
69,1
13,2
19,2
18,2
24,2
247,2
257,2
272,2
17,3
56,3
82,3
90,3
105,3
106,3
113,3
137,3
260,4
14,5
32,13
43,13
232,16
242,31
15,48
34,49
102,92
102,49
33,5
33,53
33,55
181,53
75,67
132,67
20,79
21,79
276,79
268,79
241,79
91,79
53,80
46,80
149,82
213,84
226,85
237,87
307,90
303,90
5,90
166,104
285,104
238,104
159,104
10,107
64,107
176,107
194,107
244,107
215,108
4,108
129,108
253,108
301,108
35,108
95,108
128,109
291,109
139,7
214,7
66,38
300,38
30,72
63,72
189,72
192,72
73,73
73,38
162,73
233,73
163,82
164,82
93,75
234,75
234,40
107,40
168,40
168,40
193,94
204,40
250,40
293,40
293,75
72,13
54,93
27,16
185,83
245,16
265,107
41,16
94,53
94,50
161,83
196,83
271,89
280,89
78,81
88,81
231,81
71,89
71,88
71,81
230,86
200,7
103,105
111,63
279,86
278,99
112,63
264,7
118,90
9,43
179,36
179,42
187,42
187,44
197,42
167,12
70,44
206,44
220,44
67,62
298,16
298,102
69,4
